Type,Block Dim,Matrix Size,Filter Size,Time
Sequential,-,24,3,0.008133333333333333
CUDA,16,24,3,159.00133333333335
CUDA,64,24,3,116.59566666666667
CUDA,256,24,3,108.12076666666667
CUDA,1024,24,3,102.29166666666667
Sequential,-,120,5,0.44589999999999996
CUDA,16,120,5,104.5048
CUDA,64,120,5,101.72823333333334
CUDA,256,120,5,96.71050000000001
CUDA,1024,120,5,98.99476666666668
Sequential,-,720,7,31.026566666666668
CUDA,16,720,7,95.86026666666667
CUDA,64,720,7,98.26526666666666
CUDA,256,720,7,98.12616666666666
CUDA,1024,720,7,102.70506666666667
Sequential,-,2500,9,572.946433333333333
CUDA,16,2500,9,195.21966666666665
CUDA,64,2500,9,172.032
CUDA,256,2500,9,165.17366666666666
CUDA,1024,2500,9,187.69266666666667
Sequential,-,6400,11,6207.423333333333
CUDA,16,6400,11,412.16533333333336
CUDA,64,6400,11,350.21233333333333
CUDA,256,6400,11,463.0116666666667
CUDA,1024,6400,11,701.9336666666667
